V	J
0.0	11.79920
0.01	11.79920
0.02	11.79920
0.03	11.79920
0.04	11.79920
0.05	11.79920
0.06	11.79920
0.07	11.79920
0.08	11.79920
0.09	11.79920
0.1	11.79920
0.11	11.79920
0.12	11.79920
0.13	11.79920
0.14	11.79920
0.15	11.79920
0.16	11.79920
0.17	11.79920
0.18	11.79920
0.19	11.79920
0.2	11.79920
0.21	11.79920
0.22	11.79920
0.23	11.79920
0.24	11.79920
0.25	11.79920
0.26	11.79920
0.27	11.79920
0.28	11.79920
0.29	11.79920
0.3	11.79920
0.31	11.79920
0.32	11.79920
0.33	11.79920
0.34	11.79920
0.350000	11.79920
0.36	11.79920
0.37	11.79920
0.38	11.79920
0.39	11.79920
0.4	11.79920
0.410000	11.79920
0.42	11.79920
0.43	11.79920
0.44	11.79920
0.45	11.79920
0.46	11.79920
0.470000	11.79920
0.48	11.79920
0.49	11.79920
0.5	11.79920
0.51	11.79920
0.52	11.79920
0.53	11.79920
0.54	11.79920
0.55	11.79920
0.56	11.79920
0.570000	11.79920
0.58	11.79920
0.59	11.79920
0.6	11.79920
0.61	11.79920
0.62	11.79920
0.63	11.79920
0.64	11.79920
0.65	11.79920
0.66	11.79920
0.67	11.79920
0.68	11.79920
0.690000	11.79920
0.700000	11.79920
0.71	11.79920
0.72	11.79920
0.73	11.79920
0.74	11.79920
0.75	11.79920
0.76	11.79920
0.77	11.79920
0.78	11.79920
0.79	11.79920
0.8	11.79920
0.81	11.79920
0.820000	11.79920
0.830000	11.79919
0.84	11.79919
0.85	11.79919
0.86	11.79919
0.87	11.79918
0.88	11.79917
0.89	11.79916
0.9	11.79914
0.91	11.79911
0.92	11.79907
0.93	11.79900
0.940000	11.79891
0.950000	11.79876
0.96	11.79855
0.97	11.79823
0.98	11.79774
0.99	11.79702
1.0	11.79594
1.01	11.79431
1.02	11.79188
1.03	11.78824
1.04	11.78279
1.05	11.77462
1.06	11.76239
1.07	11.74407
1.08	11.71663
1.09	11.67554
1.1	11.61400
1.11	11.52183
1.12	11.38379
1.130000	11.17704
1.140000	10.86740
1.150000	10.40365
1.16	9.709103
1.17	8.668880
1.18	7.110946
1.19	4.777642
1.2	1.283073
1.21	-3.95071
1.22	-11.7893
1.23	-23.5290
1.24	-41.1116
1.25	-67.4449
1.26	-106.884
1.27	-165.951
1.28	-254.416
1.29	-386.910
1.3	-585.344
1.31	-882.537
1.32	-1327.64
