V	J
0.0	36.94026
0.01	36.94026
0.02	36.94026
0.03	36.94026
0.04	36.94026
0.05	36.94026
0.06	36.94026
0.07	36.94026
0.08	36.94026
0.09	36.94026
0.1	36.94026
0.11	36.94026
0.12	36.94026
0.13	36.94026
0.14	36.94026
0.15	36.94026
0.16	36.94026
0.17	36.94026
0.18	36.94026
0.19	36.94026
0.2	36.94026
0.21	36.94026
0.22	36.94026
0.23	36.94026
0.24	36.94026
0.25	36.94026
0.26	36.94026
0.27	36.94026
0.28	36.94026
0.29	36.94026
0.3	36.94026
0.31	36.94026
0.32	36.94026
0.33	36.94026
0.34	36.94026
0.350000	36.94026
0.36	36.94026
0.37	36.94026
0.38	36.94026
0.39	36.94026
0.4	36.94026
0.410000	36.94026
0.42	36.94026
0.43	36.94026
0.44	36.94026
0.45	36.94026
0.46	36.94026
0.470000	36.94026
0.48	36.94025
0.49	36.94024
0.5	36.94022
0.51	36.94017
0.52	36.94007
0.53	36.93988
0.54	36.93947
0.55	36.93863
0.56	36.93689
0.570000	36.93333
0.58	36.92598
0.59	36.91087
0.6	36.87977
0.61	36.81576
0.62	36.68399
0.63	36.41278
0.64	35.85454
0.65	34.70552
0.66	32.34050
0.67	27.47258
0.68	17.45294
0.690000	-3.17045
0.700000	-45.6195
0.71	-132.992
0.72	-312.832
0.73	-682.995
0.74	-1444.90
0.75	-3013.13
0.76	-6241.02
0.77	-12884.9
0.78	-26560.2
0.79	-54708.0
0.8	-112644.
0.81	-231895.
0.820000	-477348.
0.830000	-982565.
0.84	-2022452
0.85	-4162849
0.86	-8568426
0.87	-1763641
0.88	-3630105
0.89	-7471844
0.9	-1537929
0.91	-3165517
0.92	-6515581
0.93	-1341101
0.940000	-2760386
0.950000	-5681700
0.96	-1169463
0.97	-2407105
0.98	-4954541
0.99	-1019792
1.0	-2099037
1.01	-4320445
1.02	-8892767
1.03	-1830397
1.04	-3767503
1.05	-7754647
1.06	-1596138
1.07	-3285328
1.08	-6762187
1.09	-1391860
1.1	-2864863
1.11	-5896744
1.12	-1213726
1.130000	-2498210
1.140000	-5142063
1.150000	-1.05839
1.16	-2.17848
1.17	-4.48396
1.18	-9.22934
1.19	-1.89967
1.2	-3.91009
1.21	-8.04815
1.22	-1.65654
1.23	-3.40967
1.24	-7.01812
1.25	-1.44454
1.26	-2.97329
1.27	-6.11992
1.28	-1.25966
1.29	-2.59276
1.3	-5.33668
1.31	-1.09844
1.32	-2.26093
