V	J
0.0	26.01712
0.01	26.01712
0.02	26.01712
0.03	26.01712
0.04	26.01712
0.05	26.01712
0.06	26.01712
0.07	26.01712
0.08	26.01712
0.09	26.01712
0.1	26.01712
0.11	26.01712
0.12	26.01712
0.13	26.01712
0.14	26.01712
0.15	26.01712
0.16	26.01712
0.17	26.01712
0.18	26.01712
0.19	26.01712
0.2	26.01712
0.21	26.01712
0.22	26.01712
0.23	26.01712
0.24	26.01712
0.25	26.01712
0.26	26.01712
0.27	26.01712
0.28	26.01712
0.29	26.01712
0.3	26.01712
0.31	26.01712
0.32	26.01712
0.33	26.01712
0.34	26.01712
0.350000	26.01712
0.36	26.01712
0.37	26.01712
0.38	26.01712
0.39	26.01712
0.4	26.01712
0.410000	26.01712
0.42	26.01712
0.43	26.01712
0.44	26.01712
0.45	26.01712
0.46	26.01712
0.470000	26.01712
0.48	26.01712
0.49	26.01712
0.5	26.01712
0.51	26.01712
0.52	26.01712
0.53	26.01712
0.54	26.01712
0.55	26.01712
0.56	26.01712
0.570000	26.01712
0.58	26.01712
0.59	26.01712
0.6	26.01712
0.61	26.01712
0.62	26.01712
0.63	26.01712
0.64	26.01712
0.65	26.01712
0.66	26.01712
0.67	26.01712
0.68	26.01712
0.690000	26.01712
0.700000	26.01712
0.71	26.01712
0.72	26.01712
0.73	26.01711
0.74	26.01711
0.75	26.01710
0.76	26.01708
0.77	26.01705
0.78	26.01701
0.79	26.01694
0.8	26.01683
0.81	26.01665
0.820000	26.01636
0.830000	26.01589
0.84	26.01515
0.85	26.01395
0.86	26.01201
0.87	26.00890
0.88	26.00391
0.89	25.99587
0.9	25.98296
0.91	25.96219
0.92	25.92879
0.93	25.87510
0.940000	25.78876
0.950000	25.64995
0.96	25.42675
0.97	25.06789
0.98	24.49088
0.99	23.56314
1.0	22.07144
1.01	19.67300
1.02	15.81664
1.03	9.616135
1.04	-0.35344
1.05	-16.3831
1.06	-42.1568
1.07	-83.5973
1.08	-150.228
1.09	-257.361
1.1	-429.616
1.11	-706.580
1.12	-1151.89
1.130000	-1867.91
1.140000	-3019.16
1.150000	-4870.22
1.16	-7846.47
1.17	-12631.8
1.18	-20326.1
1.19	-32697.5
1.2	-52589.0
1.21	-84571.8
1.22	-135995.
1.23	-218678.
1.24	-351621.
1.25	-565375.
1.26	-909062.
1.27	-1461665
1.28	-2350175
1.29	-3778778
1.3	-6075779
1.31	-9769044
1.32	-1570731
