V	J
0.0	31.92887
0.01	31.92887
0.02	31.92887
0.03	31.92887
0.04	31.92887
0.05	31.92887
0.06	31.92887
0.07	31.92887
0.08	31.92887
0.09	31.92887
0.1	31.92887
0.11	31.92887
0.12	31.92887
0.13	31.92887
0.14	31.92887
0.15	31.92887
0.16	31.92887
0.17	31.92887
0.18	31.92887
0.19	31.92887
0.2	31.92887
0.21	31.92887
0.22	31.92887
0.23	31.92887
0.24	31.92887
0.25	31.92887
0.26	31.92887
0.27	31.92887
0.28	31.92887
0.29	31.92887
0.3	31.92887
0.31	31.92887
0.32	31.92887
0.33	31.92887
0.34	31.92887
0.350000	31.92887
0.36	31.92887
0.37	31.92887
0.38	31.92887
0.39	31.92887
0.4	31.92887
0.410000	31.92887
0.42	31.92887
0.43	31.92887
0.44	31.92887
0.45	31.92887
0.46	31.92887
0.470000	31.92887
0.48	31.92887
0.49	31.92887
0.5	31.92887
0.51	31.92887
0.52	31.92887
0.53	31.92887
0.54	31.92887
0.55	31.92887
0.56	31.92887
0.570000	31.92887
0.58	31.92887
0.59	31.92887
0.6	31.92887
0.61	31.92887
0.62	31.92886
0.63	31.92886
0.64	31.92885
0.65	31.92883
0.66	31.92880
0.67	31.92874
0.68	31.92864
0.690000	31.92848
0.700000	31.92818
0.71	31.92767
0.72	31.92677
0.73	31.92522
0.74	31.92251
0.75	31.91779
0.76	31.90957
0.77	31.89525
0.78	31.87031
0.79	31.82688
0.8	31.75123
0.81	31.61946
0.820000	31.38996
0.830000	30.99024
0.84	30.29404
0.85	29.08144
0.86	26.96943
0.87	23.29089
0.88	16.88387
0.89	5.724620
0.9	-13.7117
0.91	-47.5645
0.92	-106.526
0.93	-209.222
0.940000	-388.091
0.950000	-699.630
0.96	-1242.24
0.97	-2187.33
0.98	-3833.42
0.99	-6700.44
1.0	-11694.0
1.01	-20391.4
1.02	-35539.9
1.03	-61924.5
1.04	-107879.
1.05	-187919.
1.06	-327328.
1.07	-570139.
1.08	-993050.
1.09	-1729644
1.1	-3012589
1.11	-5247127
1.12	-9139078
1.130000	-1591778
1.140000	-2772443
1.150000	-4828837
1.16	-8410510
1.17	-1464880
1.18	-2551418
1.19	-4443871
1.2	-7740002
1.21	-1348095
1.22	-2348012
1.23	-4089593
1.24	-7122947
1.25	-1240621
1.26	-2160822
1.27	-3763558
1.28	-6555085
1.29	-1141715
1.3	-1988555
1.31	-3463517
1.32	-6032495
